id,type,src,dst,app,latency,message,ctime,size,buffer
11160,LINK,46,2,11,5.000021404866667,M.USER.APP.11,16000,1605365,16
11161,LINK,61,16,11,5.000021404866667,M.USER.APP.11,16000,1605365,17
11162,LINK,67,27,11,5.000021404866667,M.USER.APP.11,16000,1605365,18
11163,LINK,88,74,11,5.000021404866667,M.USER.APP.11,16000,1605365,19
11164,LINK,96,70,11,5.000021404866667,M.USER.APP.11,16000,1605365,20
11165,LINK,14,2,12,5.0000396870933335,M.USER.APP.12,16000,2976532,21
11166,LINK,55,2,12,5.0000396870933335,M.USER.APP.12,16000,2976532,22
11168,LINK,81,19,12,5.0000396870933335,M.USER.APP.12,16000,2976532,23
11169,LINK,96,4,12,5.0000396870933335,M.USER.APP.12,16000,2976532,24
11170,LINK,24,9,13,5.00002695276,M.USER.APP.13,16000,2021457,25
11171,LINK,55,2,13,5.00002695276,M.USER.APP.13,16000,2021457,26
11172,LINK,61,37,13,5.00002695276,M.USER.APP.13,16000,2021457,27
11173,LINK,64,9,13,5.00002695276,M.USER.APP.13,16000,2021457,28
11175,LINK,88,74,13,5.00002695276,M.USER.APP.13,16000,2021457,29
11179,LINK,81,2,14,5.000058506106667,M.USER.APP.14,16000,4387958,30
11180,LINK,83,70,14,5.000058506106667,M.USER.APP.14,16000,4387958,31
11183,LINK,97,41,14,5.000058506106667,M.USER.APP.14,16000,4387958,32
11184,LINK,98,2,14,5.000058506106667,M.USER.APP.14,16000,4387958,33
11186,LINK,32,20,15,5.000022028946667,M.USER.APP.15,16000,1652171,34
11187,LINK,55,2,15,5.000022028946667,M.USER.APP.15,16000,1652171,35
11188,LINK,62,5,15,5.000022028946667,M.USER.APP.15,16000,1652171,36
11189,LINK,65,29,15,5.000022028946667,M.USER.APP.15,16000,1652171,37
11190,LINK,93,34,15,5.000022028946667,M.USER.APP.15,16000,1652171,38
11195,LINK,62,6,17,5.000042796453333,M.USER.APP.17,16000,3209734,39
11196,LINK,88,28,17,5.000042796453333,M.USER.APP.17,16000,3209734,40
11197,LINK,98,2,17,5.000042796453333,M.USER.APP.17,16000,3209734,41
11198,LINK,52,5,18,5.00003226232,M.USER.APP.18,16000,2419674,42
11200,LINK,9,2,19,5.000049633213333,M.USER.APP.19,16000,3722491,43
11161,LINK,16,5,11,5.000021404866667,M.USER.APP.11,16005.000021404867,1605365,40
11188,LINK,5,24,15,5.000022028946667,M.USER.APP.15,16005.000022028948,1652171,37
11170,LINK,9,33,13,5.00002695276,M.USER.APP.13,16005.00002695276,2021457,34
11172,LINK,37,15,13,5.00002695276,M.USER.APP.13,16005.00002695276,2021457,35
11173,LINK,9,33,13,5.00002695276,M.USER.APP.13,16005.00002695276,2021457,36
11198,LINK,5,90,18,5.00003226232,M.USER.APP.18,16005.00003226232,2419674,35
11159,LINK,2,100,10,1.00002093924,M.USER.APP.10,16005.000034898734,2617405,35
11132,LINK,1,2,1,5.000036175413333,M.USER.APP.1,16005.000036175414,2713156,32
11134,LINK,40,0,1,5.000036175413333,M.USER.APP.1,16005.000036175414,2713156,33
11135,LINK,41,2,1,5.000036175413333,M.USER.APP.1,16005.000036175414,2713156,34
11155,LINK,5,1,8,5.0000388074133335,M.USER.APP.8,16005.000038807413,2910556,31
11156,LINK,2,1,8,5.0000388074133335,M.USER.APP.8,16005.000038807413,2910556,32
11165,LINK,2,12,12,5.0000396870933335,M.USER.APP.12,16005.000039687093,2976532,29
11166,LINK,2,12,12,5.0000396870933335,M.USER.APP.12,16005.000039687093,2976532,30
11169,LINK,4,2,12,5.0000396870933335,M.USER.APP.12,16005.000039687093,2976532,31
11196,LINK,28,0,17,5.000042796453333,M.USER.APP.17,16005.000042796453,3209734,31
11200,LINK,2,100,19,1.000029779928,M.USER.APP.19,16005.000049633214,3722491,30
11150,LINK,30,3,7,5.000055566026667,M.USER.APP.7,16005.000055566026,4167452,28
11154,LINK,70,2,7,5.000055566026667,M.USER.APP.7,16005.000055566026,4167452,29
11161,LINK,5,2,11,5.000021404866667,M.USER.APP.11,16010.000042809734,1605365,25
11198,LINK,90,40,18,5.00003226232,M.USER.APP.18,16010.00006452464,2419674,20
11171,LINK,2,100,13,1.000016171656,M.USER.APP.13,16010.000066639854,2021457,20
11132,LINK,2,26,1,5.000036175413333,M.USER.APP.1,16010.000072350827,2713156,18
11134,LINK,0,2,1,5.000036175413333,M.USER.APP.1,16010.000072350827,2713156,19
11135,LINK,2,26,1,5.000036175413333,M.USER.APP.1,16010.000072350827,2713156,20
11195,LINK,6,86,17,5.000042796453333,M.USER.APP.17,16010.000079126174,3209734,18
11169,LINK,2,12,12,5.0000396870933335,M.USER.APP.12,16010.000079374186,2976532,17
11196,LINK,0,8,17,5.000042796453333,M.USER.APP.17,16010.000085592907,3209734,17
11197,LINK,2,19,17,5.000042796453333,M.USER.APP.17,16010.00010130256,3209734,16
11154,LINK,2,3,7,5.000055566026667,M.USER.APP.7,16010.000111132053,4167452,15
11180,LINK,70,2,14,5.000058506106667,M.USER.APP.14,16010.000114072132,4387958,15
11124,LINK,2,98,16,5.0000338871466665,16_(88-89),16012.78635226398,2541536,15
6865,LINK,26,18,1,5.000036158733334,1_(3-9),16014.114862624498,2711905,16
6865,LINK,26,85,1,5.0000343908,1_(3-4),16014.114862624498,2579310,17
6865,LINK,26,85,1,5.00003339936,1_(3-7),16014.114862624498,2504952,18
11175,LINK,74,15,13,5.00002695276,M.USER.APP.13,16015.000084533041,2021457,16
11187,LINK,2,20,15,5.000022028946667,M.USER.APP.15,16015.000088668801,1652171,16
11134,LINK,2,26,1,5.000036175413333,M.USER.APP.1,16015.000108526241,2713156,14
11195,LINK,86,8,17,5.000042796453333,M.USER.APP.17,16015.000121922627,3209734,13
9946,LINK,3,0,2,5.0000529769333335,2_(10-11),16018.320000000018,3973270,9
6865,LINK,18,76,1,5.000036158733334,1_(3-9),16019.114898783231,2711905,8
11105,LINK,15,35,13,5.000039744053334,13_(69-70),16020.31110041715,2980804,4
