id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
56,COMP_M,15,15_82,15_(81-82),151,152,13,88,15_81,69.80912162162163,165.1353220357913,234.94444365741293,145.13511431835124,165.1353220357913
49,COMP_M,14,14_79,14_(76-79),147,150,2,61,14_76,37.21384297520661,167.24556235179497,204.45940532700158,152.24547427211493,167.24556235179497
26,COMP_M,8,8_47,8_(43-47),113,117,29,34,8_43,79.9623352165725,167.24562480858162,247.20796002515414,137.92781955031055,167.24562480858162
49,COMP_M,14,14_78,14_(76-78),147,149,2,93,14_76,158.97256097560975,167.24564533695496,326.2182063125647,152.24547427211493,167.24564533695496
23,COMP_M,7,7_35,M.USER.APP.7,22,105,71,35,None,48.26299045599151,168.26319670956485,216.52618716555637,100.0,125.00026181960001
4,COMP_M,1,1_9,1_(3-9),73,79,34,37,1_3,151.19289340101523,169.72519173259263,320.91808513360786,154.72508325639262,169.72519173259263
4,COMP_M,1,1_8,1_(3-8),73,78,34,17,1_3,23.983981693363845,169.72519583967266,193.7091775330365,154.72508325639262,169.72519583967266
68,COMP_M,18,18_96,M.USER.APP.18,67,166,52,37,None,66.07106598984771,171.0710982521677,237.1421642420154,100.0,145.0003325318133
67,COMP_M,17,17_92,M.USER.APP.17,66,162,98,97,None,26.586734693877553,173.17364057356843,199.760375267446,100.0,135.00032122149332
7,COMP_M,3,3_13,3_(12-13),82,83,41,86,3_12,34.33541341653666,174.90512513328122,209.24053854981787,159.9049537336012,174.90512513328122
59,COMP_M,15,15_81,M.USER.APP.15,58,151,65,13,None,30.135048231511256,175.2701625498625,205.40521078137377,100.0,130.00028384854667
6,COMP_M,2,2_11,2_(10-11),80,81,4,45,2_10,68.34651162790698,176.7945302138609,245.14104184176787,166.7944242599942,176.7945302138609
18,COMP_M,6,6_29,M.USER.APP.6,17,102,83,90,None,34.22354340071344,178.44715946086689,212.6707028615803,100.0,120.00014531888002
